
 id;name;
 1;Věta jednoduchá, přívlastek volný/těsný;
 2;Věta jednoduchá, několikanásobné větné členy;
 3;Věta jednoduchá, další případy;
 4;Souvětí souřadné;
 5;Souvětí podřadné;
 6;Souvětí, vložené věty;
 7;Souvětí s více větami;
 8;Další příklady;
 9;Dášeňka (Čapek);
 10;Jak se co dělá (Čapek);
 11;Citáty;
 12;Přísloví;
 13;Věta jednoduchá: a, nebo;
 id;name;
 1;Vyjmenovaná slova po B;
 2;Vyjmenovaná slova po M;
 3;Vyjmenovaná slova po P;
 4;Shoda podmětu s přísudkem;
 5;Příběh: Nejtemnější hlubina;
 6;Příběh: Nejtemnější hlubina pokr.;
 7;Koncovky přídavných jmen i/y;
 8;Psaní nn a n;
 9;Psaní mě a mně;
 10;Psaní s-, z- a vz-;
 11;Vyjmenovaná slova po L;
 12;Vyjmenovaná slova po S;
 13;Vyjmenovaná slova po V;
 14;Vyjmenovaná slova po Z;
 15;Psaní bě/bje, vě/vje, pě, mě/mně;
 16;Koncovky podstatných jmen i/y;
 17;Psaní i a y v různých částech slova;
 18;Velká písmena: vlastní jména;
 19;Spřežky;
 20;Cizí a přejatá slova;
 21;Různá délka samohlásek;
 22;Souhlásky párové;
 23;Skloňování i, í, mi, emi, ema;
 24;Koncovky -ovi, -ovy;
 25;Příběh: Příliš mnoho dobrodružství;
 id;name;
 1;Vyjmenovaná slova po B;
 id;name;
 1;Vyjmenovaná slova B;
 2;Vyjmenovaná slova L;
 3;Vyjmenovaná slova M;
 4;Vyjmenovaná slova P;
 5;Vyjmenovaná slova S;
 6;Vyjmenovaná slova V;
 7;Vyjmenovaná slova Z;
 8;Koncovky podstatných jmen &ndash; mužský rod;
 9;Koncovky podstatných jmen &ndash; ženský rod;
 10;Koncovky podstatných jmen &ndash; střední rod;
 11;Koncovky přídavných jmen (jarní/mladý);
 12;Koncovky ovi/ovy;
 13;Koncovky mi/my/ma;
 14;Shoda podmětu s přísudkem;
 15;Psaní mě/mně ve slově;
 16;Mě/mně samostatně (zájmeno já);
 17;Psaní bě/bje;
 18;Psaní vě/vje;
 19;Psaní n/nn;
 20;Další zdvojené souhlásky (dd,zz,kk,cc, jj...);
 21;Jedno versus dvě písmena (c/ts, s/zs, ...);
 22;Psaní s/z na začátku slova;
 23;Předložky s/z;
 24;Souhlásky párové (p/b, t/d, ...);
 25;Psaní š/č (hlavně v koncovkách), š/ž;
 26;Délka samohlásek: u/ú/ů;
 27;Délka samohlásek: i/í;
 28;Přejatá slova &ndash; souhlásky;
 29;Přejatá slova &ndash; samohlásky;
 30;Skloňování zájmen (jež/jenž, nímž, ji/jí,...);
 31;Skloňování přídavných jmen;
 32;Skloňování podstatných jmen;
 33;Slovesa &ndash; podmiňovací (bychom), zvratná (sis);
 34;Zkratky ;
 35;Číslovky a mezery;
 36;Spřežky;
 37;Interpunkční znaménka;
 38;Velká písmena &ndash; lidé, jména;
 39;Velká písmena &ndash; národy, skupiny osob;
 40;Velká písmena &ndash; instituce, organizace;
 41;Velká písmena &ndash; dny, období, události;
 42;Velká písmena &ndash; geografie, příroda, vesmír;
 43;Velká písmena &ndash; státy, oblasti;
 44;Velká písmena &ndash; města, části měst, ulice;
 45;Velká písemna &ndash; budovy, stavby;
 id;name;
 1;Vyjmenovaná slova B;
 2;Vyjmenovaná slova L;
 3;Vyjmenovaná slova M;
 4;Vyjmenovaná slova P;
 5;Vyjmenovaná slova S;
 6;Vyjmenovaná slova V;
 7;Vyjmenovaná slova Z;
 8;Koncovky podstatných jmen &ndash; mužský rod;
 9;Koncovky podstatných jmen &ndash; ženský rod;
 10;Koncovky podstatných jmen &ndash; střední rod;
 11;Koncovky přídavných jmen (jarní/mladý);
 12;Koncovky ovi/ovy;
 13;Koncovky mi/my/ma;
 14;Shoda podmětu s přísudkem;
 15;Psaní mě/mně ve slově;
 16;Mě/mně samostatně (zájmeno já);
 17;Psaní bě/bje;
 18;Psaní vě/vje;
 19;Psaní n/nn;
 20;Další zdvojené souhlásky (dd,zz,kk,cc, jj...);
 21;Jedno versus dvě písmena (c/ts, s/zs, ...);
 22;Psaní s/z na začátku slova;
 23;Předložky s/z;
 24;Souhlásky párové (p/b, t/d, ...);
 25;Psaní š/č (hlavně v koncovkách), š/ž;
 26;Délka samohlásek: u/ú/ů;
 27;Délka samohlásek: i/í;
 28;Přejatá slova &ndash; souhlásky;
 29;Přejatá slova &ndash; samohlásky;
 30;Skloňování zájmen (jež/jenž, nímž, ji/jí,...);
 31;Skloňování přídavných jmen;
 32;Skloňování podstatných jmen;
 33;Slovesa &ndash; podmiňovací (bychom), zvratná (sis);
 34;Zkratky ;
 35;Číslovky a mezery;
 36;Spřežky;
 37;Interpunkční znaménka;
 38;Velká písmena &ndash; lidé, jména;
 39;Velká písmena &ndash; národy, skupiny osob;
 40;Velká písmena &ndash; instituce, organizace;
 41;Velká písmena &ndash; dny, období, události;
 42;Velká písmena &ndash; geografie, příroda, vesmír;
 43;Velká písmena &ndash; státy, oblasti;
 44;Velká písmena &ndash; města, části měst, ulice;
 45;Velká písemna &ndash; budovy, stavby;
 46;Spisovné nebo nespisovné?;
 id;name;
 1;Vyjmenovaná slova;1,2,3,4,5,6,7;
 2;Psaní i/y v různých částech slova;8,9,10,11,12,13,14;
 3;Velká a malá písmena;38,39,40,41,42,43,44,45;
 4;Samohlásky, souhlásky, skloňování, tvarosloví;26,27,28,29,30,31,32,19,20,21,24;
 5;Předpony a předložky, bě/pě/vě/mě;15,16,17,18,22,23;
 6;Přejatá slova, zkratky, číslovky a symboly;34,35,28,29;
 id;name;
 1;Vyjmenovaná slova;1,2,3,4,5,6,7;
 2;Psaní i/y v různých částech slova;8,9,10,11,12,13,14;
 3;Velká a malá písmena;38,39,40,41,42,43,44,45;
 4;Samohlásky, souhlásky, skloňování, tvarosloví;26,27,28,29,30,31,32,19,20,21,24;
 5;Předpony a předložky, bě/pě/vě/mě;15,16,17,18,22,23;
 6;Přejatá slova, zkratky, číslovky a symboly;34,35,28,29;
 id;name;
 1;Vyjmenovaná slova po B;
 2;Vyjmenovaná slova po L;
 3;Vyjmenovaná slova po M;
 4;Vyjmenovaná slova po P;
 5;Vyjmenovaná slova po S;
 6;Vyjmenovaná slova po V;
 7;Vyjmenovaná slova po Z;
 8;Předpony a předložky s, z, vz;
 9;Koncovky přídavných jmen i/y;
 10;Koncovky sloves i/y;
 11;Koncovky podstatných jmen i/y;
 12;Psaní mě/mně, bě/bje, vě/vje, pě;
 13;Velká písmena: lidské výtvory;
 14;Velká písmena: vlastní jména;
 15;Velká písmena: geografie;
 16;Souhlásky n/nn,d/dd, zs/s atp.;
 17;Tvarosloví;
 18;Spřežky;
 19;Různá délka samohlásek a, e, i, o, u;
 20;Skloňování i, í, mi, emi, ema;
