id;vzor;word
1;1;manžel
2;1;anděl
6;1;medvěd
7;1;člověk
8;1;syn
9;1;voják
10;1;student
11;1;host
12;1;občan
13;1;premiér
14;1;pes
15;1;vůl
16;1;bratr
17;1;ministr
18;1;mistr
19;1;inženýr
20;1;doktor
21;1;manažer
22;1;netopýr
23;1;kocour
24;1;vezír
25;1;upír
26;1;dělník
27;1;biolog
28;1;chirurg
29;1;vrah
30;1;hoch
31;1;syn
32;1;bůh
33;1;člověk
34;1;bídník
35;1;holub
36;1;lev
37;1;krokodýl
38;1;osel
39;1;pštros
40;1;jestřáb
41;1;voják
42;1;čáp
43;1;tetřev
44;1;pes
45;1;motýl
46;1;kominík
47;1;režisér
48;1;zdravotník
49;1;delfín
50;1;kamenožrout
51;1;obr
52;1;duch
53;1;smrtelník
54;1;pracovník
55;2;arch
56;2;dar
57;2;dub
58;2;houf
59;2;krok
60;2;ring
61;2;rosol
62;2;rybíz
63;2;sloup
64;2;titul
65;2;úhel
66;2;útes
67;2;živel
68;2;leden
69;2;únor
70;2;duben
71;2;listopad
72;2;říjen
73;2;dnešek
74;2;pondělek
75;2;včerejšek
76;2;domov
77;2;chléb
78;2;kostel
79;2;mlýn
80;2;ostrov
81;2;svět
82;2;venkov
83;2;chléb
84;2;jazyk
85;2;les
86;2;oběd
87;2;večer
88;2;rybník
89;2;zákon
90;2;život
91;2;Mělník
92;2;Lipník
93;2;Příbor
94;2;Zábřeh
95;2;dvůr
96;2;javor
97;2;komín
104;2;chodník
105;2;ples
106;2;sklep
107;2;jez
108;2;hotel
109;2;rok
110;2;případ
111;2;stůl
112;2;čas
113;2;film
114;2;domov
115;2;systém
116;2;rukáv
117;2;vrtulník
118;2;trajekt
119;2;polibek
120;2;stud
121;2;nosník
122;2;výskok
123;2;potlesk
124;2;aplaus
126;2;pohár
127;2;průmysl
128;2;drb
129;2;klub
130;2;spolek
131;3;srnec
132;3;houbař
133;3;cizinec
134;3;rodič
135;3;otec
136;3;lovec
137;3;blbec
138;3;horolezec
139;3;znalec
140;3;chlapec
141;3;nadšenec
142;3;kůň
143;3;král
144;3;lyžař
145;3;přítel
146;3;sběratel
147;3;jezdec
148;3;vítěz
149;3;lékař
150;3;učitel
151;3;krotitel
152;3;malíř
153;3;stavitel
154;3;hasič
155;3;surfař
156;3;sportovec
157;3;princ
158;3;ředitel
183;4;křemenáč
184;4;měsíc
185;4;kříž
186;4;cíl
187;4;oheň
188;4;kašel
189;4;míč
190;4;štětec
192;4;palec
193;4;klíč
195;4;pytel
196;4;korbel
197;4;svízel
198;4;jitrocel
199;4;jetel
200;4;mandel
201;4;šindel
202;4;šťavel
203;4;věrtel
204;4;pantofel
205;4;kašel
206;4;obratel
207;5;rikša
208;5;bača
209;5;maharádža
210;5;nindža
211;5;paša
212;5;Nohavica
213;5;houslista
214;5;husita
215;5;bandita
216;5;kolega
217;5;artista
218;5;starosta
219;5;sluha
220;5;trumeptista
221;5;nemluva
222;5;traktorista
223;5;gymnasta
224;5;kanoista
225;5;fotbalista
226;5;cyklista
227;5;hokejista
228;6;vládce
229;6;zákonodárce
230;6;správce
231;6;rádce
232;6;zrádce
233;6;vůdce
234;6;dárce
235;6;chlebodárce
236;6;zákonodárce
237;6;strážce
238;6;strůjce
239;6;svůdce
240;6;tvůrce
241;6;přímluvce
242;6;poradce
243;6;porotce
244;6;průvodce
245;6;soudce
246;6;vojevůdce
247;6;strojvůdce
248;6;důchodce
249;7;doba
250;7;sklenka
251;7;skupina
252;7;hlava
253;7;ruka
254;7;noha
255;7;květina
256;7;hruška
257;7;liška
258;7;tepna
259;7;doprava
260;7;straka
261;7;klávesa
262;7;láska
263;7;krása
264;7;Afrika
265;7;Evropa
266;7;Amerika
267;7;ryba
268;7;skála
269;7;moucha
270;7;dívka
271;7;žirafa
272;7;strana
273;7;stěna
274;7;perla
275;7;známka
276;7;svíčka
277;7;vosa
278;7;babička
279;7;škola
280;7;mapa
281;7;lopatka
282;7;vidlička
283;7;paleta
284;7;cihla
285;7;miska
286;7;husa
287;7;houba
289;7;střecha
290;8;chvíle
291;8;práce
292;8;židle
293;8;klávesnice
294;8;sukně
295;8;nůše
296;8;tabule
297;8;koule
298;8;ulice
299;8;silnice
300;8;Země
301;8;žákyně
302;8;naděje
303;8;chůze
304;8;jedle
305;8;vesnice
306;8;duše
307;8;borovice
308;8;střelnice
309;8;židle
310;8;chvíle
311;8;čarodějnice
312;8;chůze
313;8;košile
314;8;sazenice
315;8;cibule
316;8;fazole
317;8;ovce
318;8;slepice
319;8;brusle
320;8;mince
321;9;orchidej
322;9;skříň
323;9;koupel
324;9;tramvaj
325;9;jabloň
326;9;pánev
327;9;kázeň
328;9;drůbež
329;9;dlaň
330;9;mrkev
331;9;ředkev
332;9;hůl
333;9;koroptev
334;9;sklizeň
335;9;postel
336;9;hráz
337;9;petržel
338;9;pánev
339;9;mrkev
340;9;broskev
341;9;větev
342;9;stráň
343;9;mez
344;9;lahev
345;9;báseň
346;9;vášeň
347;10;společnost
348;10;věc
349;10;smrt
350;10;rukojeť
351;10;místnost
352;10;pověst
353;10;radost
354;10;část
355;10;starost
356;10;drzost
357;10;bytost
358;9;labuť
359;10;obuv
360;10;směs
361;10;zeď
362;10;bolest
363;10;řeč
364;10;vědomost
365;10;příležitost
366;10;lenost
367;10;žádost
368;10;povinnost
369;10;nezbytnost
370;10;hbitost
371;10;věrnost
372;11;letadlo
373;11;pásmo
374;11;kolo
375;11;víno
376;11;prádlo
377;11;jídlo
378;11;kolo
379;11;okno
380;11;auto
381;11;město
382;11;slunéčko
383;11;jablko
384;11;stádo
385;11;letadlo
386;11;počítadlo
387;11;pravidlo
388;11;prostěradlo
389;11;zavazadlo
390;11;procento
391;11;ucho
392;11;čelo
393;11;koleno
394;11;tričko
395;11;stádo
396;11;pivo
397;11;strašidlo
398;12;hnojiště
399;12;bludiště
400;12;Labe
401;12;pracoviště
402;12;letiště
403;12;nebe
404;12;staveniště
405;12;bojiště
406;12;srdce
407;12;pole
408;12;smetiště
409;12;vřesoviště
410;12;loviště
411;12;slunce
